datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,CE,CE,9438.426,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,CE,CE,9185.714,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,CE,CE,8984.907,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,CE,CE,8811.101,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,CE,CE,8762.563,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,CE,CE,8786.255,True
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RFC,WEST,CE,CE,8953.087,True
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RFC,WEST,CE,CE,9098.660,True
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RFC,WEST,CE,CE,9151.687,True
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RFC,WEST,CE,CE,9174.262,True
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RFC,WEST,CE,CE,9310.355,True
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RFC,WEST,CE,CE,9432.413,True
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RFC,WEST,CE,CE,9583.864,True
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RFC,WEST,CE,CE,9734.067,True
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RFC,WEST,CE,CE,9818.365,True
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RFC,WEST,CE,CE,9938.108,True
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RFC,WEST,CE,CE,10084.688,True
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RFC,WEST,CE,CE,10522.898,True
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,WEST,CE,CE,10854.814,True
