datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,RFC,WEST,CE,CE,9162.491,True
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,RFC,WEST,CE,CE,8929.466,True
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,RFC,WEST,CE,CE,8697.120,True
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,RFC,WEST,CE,CE,8544.955,True
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,RFC,WEST,CE,CE,8408.132,True
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,RFC,WEST,CE,CE,8484.114,True
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,RFC,WEST,CE,CE,8584.514,True
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,RFC,WEST,CE,CE,8820.532,True
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,RFC,WEST,CE,CE,8994.512,True
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,RFC,WEST,CE,CE,9168.338,True
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,RFC,WEST,CE,CE,9447.157,True
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,RFC,WEST,CE,CE,9672.043,True
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,RFC,WEST,CE,CE,9947.055,True
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,RFC,WEST,CE,CE,10070.166,True
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,RFC,WEST,CE,CE,10207.278,True
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RFC,WEST,CE,CE,10268.714,True
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RFC,WEST,CE,CE,10351.513,True
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RFC,WEST,CE,CE,10832.970,True
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,RFC,WEST,CE,CE,11225.960,True
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,RFC,WEST,CE,CE,11211.688,True
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,RFC,WEST,CE,CE,11042.018,True
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,RFC,WEST,CE,CE,10913.080,True
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,RFC,WEST,CE,CE,10653.445,True
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,RFC,WEST,CE,CE,10257.447,True
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,RFC,WEST,CE,CE,9879.883,True
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,RFC,WEST,CE,CE,9580.907,True
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,RFC,WEST,CE,CE,9377.376,True
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,RFC,WEST,CE,CE,9257.145,True
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,RFC,WEST,CE,CE,9218.643,True
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,RFC,WEST,CE,CE,9235.624,True
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,RFC,WEST,CE,CE,9340.226,True
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,RFC,WEST,CE,CE,9636.847,True
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,RFC,WEST,CE,CE,9806.228,True
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,RFC,WEST,CE,CE,9986.424,True
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,RFC,WEST,CE,CE,10161.849,True
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,RFC,WEST,CE,CE,10239.541,True
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,RFC,WEST,CE,CE,10190.349,True
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,RFC,WEST,CE,CE,10109.721,True
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,RFC,WEST,CE,CE,10064.833,True
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,RFC,WEST,CE,CE,10014.196,True
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,RFC,WEST,CE,CE,10167.194,True
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,RFC,WEST,CE,CE,10779.620,True
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,RFC,WEST,CE,CE,11464.453,True
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,RFC,WEST,CE,CE,11526.418,True
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,RFC,WEST,CE,CE,11497.649,True
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,RFC,WEST,CE,CE,11310.760,True
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,RFC,WEST,CE,CE,11145.121,True
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,RFC,WEST,CE,CE,10745.089,True
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,RFC,WEST,CE,CE,10417.797,True
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,RFC,WEST,CE,CE,10206.040,True
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,RFC,WEST,CE,CE,10072.503,True
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,RFC,WEST,CE,CE,10029.965,True
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,RFC,WEST,CE,CE,10133.503,True
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,RFC,WEST,CE,CE,10396.754,True
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,RFC,WEST,CE,CE,10904.464,True
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,RFC,WEST,CE,CE,11671.215,True
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,RFC,WEST,CE,CE,12061.357,True
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,RFC,WEST,CE,CE,12059.379,True
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,RFC,WEST,CE,CE,12063.001,True
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,RFC,WEST,CE,CE,12011.815,True
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,RFC,WEST,CE,CE,11965.436,True
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,RFC,WEST,CE,CE,11909.360,True
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,RFC,WEST,CE,CE,11865.230,True
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,RFC,WEST,CE,CE,11813.222,True
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,RFC,WEST,CE,CE,11953.681,True
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,RFC,WEST,CE,CE,12545.809,True
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,RFC,WEST,CE,CE,13128.833,True
1/4/2022 12:00:00 AM,1/3/2022 7:00:00 PM,RFC,WEST,CE,CE,12955.560,True
1/4/2022 1:00:00 AM,1/3/2022 8:00:00 PM,RFC,WEST,CE,CE,12736.974,True
1/4/2022 2:00:00 AM,1/3/2022 9:00:00 PM,RFC,WEST,CE,CE,12468.657,True
1/4/2022 3:00:00 AM,1/3/2022 10:00:00 PM,RFC,WEST,CE,CE,12078.928,True
1/4/2022 4:00:00 AM,1/3/2022 11:00:00 PM,RFC,WEST,CE,CE,11475.532,True
