datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,RFC,WEST,CE,CE,9129.539,True
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,RFC,WEST,CE,CE,8868.132,True
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,RFC,WEST,CE,CE,8693.861,True
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,RFC,WEST,CE,CE,8563.775,True
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,RFC,WEST,CE,CE,8417.049,True
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,RFC,WEST,CE,CE,8346.770,True
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,RFC,WEST,CE,CE,8396.421,True
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,RFC,WEST,CE,CE,8481.180,True
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,RFC,WEST,CE,CE,8543.008,True
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,RFC,WEST,CE,CE,8561.085,True
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,RFC,WEST,CE,CE,8693.878,True
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,RFC,WEST,CE,CE,8862.550,True
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,RFC,WEST,CE,CE,8987.648,True
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,RFC,WEST,CE,CE,9028.297,True
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,RFC,WEST,CE,CE,8939.677,True
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,RFC,WEST,CE,CE,8930.544,True
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,RFC,WEST,CE,CE,9080.800,True
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,RFC,WEST,CE,CE,9537.811,True
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,RFC,WEST,CE,CE,9905.568,True
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,RFC,WEST,CE,CE,9854.487,True
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,RFC,WEST,CE,CE,9785.556,True
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,RFC,WEST,CE,CE,9636.775,True
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,RFC,WEST,CE,CE,9412.537,True
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,RFC,WEST,CE,CE,9089.539,True
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,RFC,WEST,CE,CE,8766.632,True
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,RFC,WEST,CE,CE,8500.382,True
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,RFC,WEST,CE,CE,8299.828,True
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,RFC,WEST,CE,CE,8232.184,True
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,RFC,WEST,CE,CE,8260.836,True
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,RFC,WEST,CE,CE,8434.276,True
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,RFC,WEST,CE,CE,8755.219,True
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,RFC,WEST,CE,CE,9139.141,True
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,RFC,WEST,CE,CE,9320.066,True
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,RFC,WEST,CE,CE,9429.635,True
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,RFC,WEST,CE,CE,9543.590,True
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,RFC,WEST,CE,CE,9596.005,True
1/2/2023 5:00:00 PM,1/2/2023 12:00:00 PM,RFC,WEST,CE,CE,9610.482,True
1/2/2023 6:00:00 PM,1/2/2023 1:00:00 PM,RFC,WEST,CE,CE,9652.244,True
1/2/2023 7:00:00 PM,1/2/2023 2:00:00 PM,RFC,WEST,CE,CE,9671.490,True
1/2/2023 8:00:00 PM,1/2/2023 3:00:00 PM,RFC,WEST,CE,CE,9683.604,True
1/2/2023 9:00:00 PM,1/2/2023 4:00:00 PM,RFC,WEST,CE,CE,9901.417,True
1/2/2023 10:00:00 PM,1/2/2023 5:00:00 PM,RFC,WEST,CE,CE,10432.974,True
1/2/2023 11:00:00 PM,1/2/2023 6:00:00 PM,RFC,WEST,CE,CE,10797.527,True
1/3/2023 12:00:00 AM,1/2/2023 7:00:00 PM,RFC,WEST,CE,CE,10659.340,True
1/3/2023 1:00:00 AM,1/2/2023 8:00:00 PM,RFC,WEST,CE,CE,10522.403,True
1/3/2023 2:00:00 AM,1/2/2023 9:00:00 PM,RFC,WEST,CE,CE,10310.513,True
1/3/2023 3:00:00 AM,1/2/2023 10:00:00 PM,RFC,WEST,CE,CE,10077.261,True
1/3/2023 4:00:00 AM,1/2/2023 11:00:00 PM,RFC,WEST,CE,CE,9677.777,True
1/3/2023 5:00:00 AM,1/3/2023 12:00:00 AM,RFC,WEST,CE,CE,9224.766,True
1/3/2023 6:00:00 AM,1/3/2023 1:00:00 AM,RFC,WEST,CE,CE,8952.087,True
1/3/2023 7:00:00 AM,1/3/2023 2:00:00 AM,RFC,WEST,CE,CE,8804.970,True
1/3/2023 8:00:00 AM,1/3/2023 3:00:00 AM,RFC,WEST,CE,CE,8716.343,True
1/3/2023 9:00:00 AM,1/3/2023 4:00:00 AM,RFC,WEST,CE,CE,8739.775,True
1/3/2023 10:00:00 AM,1/3/2023 5:00:00 AM,RFC,WEST,CE,CE,8958.352,True
1/3/2023 11:00:00 AM,1/3/2023 6:00:00 AM,RFC,WEST,CE,CE,9513.071,True
1/3/2023 12:00:00 PM,1/3/2023 7:00:00 AM,RFC,WEST,CE,CE,10264.068,True
1/3/2023 1:00:00 PM,1/3/2023 8:00:00 AM,RFC,WEST,CE,CE,10778.449,True
1/3/2023 2:00:00 PM,1/3/2023 9:00:00 AM,RFC,WEST,CE,CE,10994.252,True
1/3/2023 3:00:00 PM,1/3/2023 10:00:00 AM,RFC,WEST,CE,CE,11159.085,True
1/3/2023 4:00:00 PM,1/3/2023 11:00:00 AM,RFC,WEST,CE,CE,11212.163,True
1/3/2023 5:00:00 PM,1/3/2023 12:00:00 PM,RFC,WEST,CE,CE,11253.990,True
1/3/2023 6:00:00 PM,1/3/2023 1:00:00 PM,RFC,WEST,CE,CE,11268.693,True
1/3/2023 7:00:00 PM,1/3/2023 2:00:00 PM,RFC,WEST,CE,CE,11225.189,True
1/3/2023 8:00:00 PM,1/3/2023 3:00:00 PM,RFC,WEST,CE,CE,11171.449,True
1/3/2023 9:00:00 PM,1/3/2023 4:00:00 PM,RFC,WEST,CE,CE,11081.089,True
1/3/2023 10:00:00 PM,1/3/2023 5:00:00 PM,RFC,WEST,CE,CE,11279.148,True
1/3/2023 11:00:00 PM,1/3/2023 6:00:00 PM,RFC,WEST,CE,CE,11461.085,True
1/4/2023 12:00:00 AM,1/3/2023 7:00:00 PM,RFC,WEST,CE,CE,11229.142,True
1/4/2023 1:00:00 AM,1/3/2023 8:00:00 PM,RFC,WEST,CE,CE,11027.158,True
1/4/2023 2:00:00 AM,1/3/2023 9:00:00 PM,RFC,WEST,CE,CE,10767.431,True
1/4/2023 3:00:00 AM,1/3/2023 10:00:00 PM,RFC,WEST,CE,CE,10343.572,True
1/4/2023 4:00:00 AM,1/3/2023 11:00:00 PM,RFC,WEST,CE,CE,9899.848,True
1/4/2023 5:00:00 AM,1/4/2023 12:00:00 AM,RFC,WEST,CE,CE,9413.280,True
1/4/2023 6:00:00 AM,1/4/2023 1:00:00 AM,RFC,WEST,CE,CE,9066.789,True
1/4/2023 7:00:00 AM,1/4/2023 2:00:00 AM,RFC,WEST,CE,CE,8868.909,True
1/4/2023 8:00:00 AM,1/4/2023 3:00:00 AM,RFC,WEST,CE,CE,8779.984,True
1/4/2023 9:00:00 AM,1/4/2023 4:00:00 AM,RFC,WEST,CE,CE,8808.140,True
1/4/2023 10:00:00 AM,1/4/2023 5:00:00 AM,RFC,WEST,CE,CE,9051.121,True
1/4/2023 11:00:00 AM,1/4/2023 6:00:00 AM,RFC,WEST,CE,CE,9617.492,True
1/4/2023 12:00:00 PM,1/4/2023 7:00:00 AM,RFC,WEST,CE,CE,10392.038,True
1/4/2023 1:00:00 PM,1/4/2023 8:00:00 AM,RFC,WEST,CE,CE,10864.774,True
1/4/2023 2:00:00 PM,1/4/2023 9:00:00 AM,RFC,WEST,CE,CE,11093.728,True
1/4/2023 3:00:00 PM,1/4/2023 10:00:00 AM,RFC,WEST,CE,CE,11273.682,True
1/4/2023 4:00:00 PM,1/4/2023 11:00:00 AM,RFC,WEST,CE,CE,11378.814,True
1/4/2023 5:00:00 PM,1/4/2023 12:00:00 PM,RFC,WEST,CE,CE,11537.980,True
1/4/2023 6:00:00 PM,1/4/2023 1:00:00 PM,RFC,WEST,CE,CE,11609.683,True
1/4/2023 7:00:00 PM,1/4/2023 2:00:00 PM,RFC,WEST,CE,CE,11721.498,True
1/4/2023 8:00:00 PM,1/4/2023 3:00:00 PM,RFC,WEST,CE,CE,11723.778,True
1/4/2023 9:00:00 PM,1/4/2023 4:00:00 PM,RFC,WEST,CE,CE,11765.486,True
1/4/2023 10:00:00 PM,1/4/2023 5:00:00 PM,RFC,WEST,CE,CE,11962.365,True
1/4/2023 11:00:00 PM,1/4/2023 6:00:00 PM,RFC,WEST,CE,CE,12133.034,True
1/5/2023 12:00:00 AM,1/4/2023 7:00:00 PM,RFC,WEST,CE,CE,11877.991,True
1/5/2023 1:00:00 AM,1/4/2023 8:00:00 PM,RFC,WEST,CE,CE,11654.848,True
1/5/2023 2:00:00 AM,1/4/2023 9:00:00 PM,RFC,WEST,CE,CE,11380.140,True
1/5/2023 3:00:00 AM,1/4/2023 10:00:00 PM,RFC,WEST,CE,CE,10978.374,True
1/5/2023 4:00:00 AM,1/4/2023 11:00:00 PM,RFC,WEST,CE,CE,10495.640,True
1/5/2023 5:00:00 AM,1/5/2023 12:00:00 AM,RFC,WEST,CE,CE,10023.685,True
1/5/2023 6:00:00 AM,1/5/2023 1:00:00 AM,RFC,WEST,CE,CE,9620.308,True
1/5/2023 7:00:00 AM,1/5/2023 2:00:00 AM,RFC,WEST,CE,CE,9427.099,True
1/5/2023 8:00:00 AM,1/5/2023 3:00:00 AM,RFC,WEST,CE,CE,9251.839,True
1/5/2023 9:00:00 AM,1/5/2023 4:00:00 AM,RFC,WEST,CE,CE,9232.953,True
1/5/2023 10:00:00 AM,1/5/2023 5:00:00 AM,RFC,WEST,CE,CE,9448.544,True
1/5/2023 11:00:00 AM,1/5/2023 6:00:00 AM,RFC,WEST,CE,CE,10022.571,True
1/5/2023 12:00:00 PM,1/5/2023 7:00:00 AM,RFC,WEST,CE,CE,10828.827,True
1/5/2023 1:00:00 PM,1/5/2023 8:00:00 AM,RFC,WEST,CE,CE,11303.412,True
1/5/2023 2:00:00 PM,1/5/2023 9:00:00 AM,RFC,WEST,CE,CE,11516.134,True
1/5/2023 3:00:00 PM,1/5/2023 10:00:00 AM,RFC,WEST,CE,CE,11670.151,True
1/5/2023 4:00:00 PM,1/5/2023 11:00:00 AM,RFC,WEST,CE,CE,11788.255,True
1/5/2023 5:00:00 PM,1/5/2023 12:00:00 PM,RFC,WEST,CE,CE,11825.062,True
1/5/2023 6:00:00 PM,1/5/2023 1:00:00 PM,RFC,WEST,CE,CE,11908.747,True
1/5/2023 7:00:00 PM,1/5/2023 2:00:00 PM,RFC,WEST,CE,CE,12009.270,True
1/5/2023 8:00:00 PM,1/5/2023 3:00:00 PM,RFC,WEST,CE,CE,11999.133,True
1/5/2023 9:00:00 PM,1/5/2023 4:00:00 PM,RFC,WEST,CE,CE,12022.731,True
1/5/2023 10:00:00 PM,1/5/2023 5:00:00 PM,RFC,WEST,CE,CE,12261.005,True
1/5/2023 11:00:00 PM,1/5/2023 6:00:00 PM,RFC,WEST,CE,CE,12342.130,True
1/6/2023 12:00:00 AM,1/5/2023 7:00:00 PM,RFC,WEST,CE,CE,12073.618,True
1/6/2023 1:00:00 AM,1/5/2023 8:00:00 PM,RFC,WEST,CE,CE,11833.283,True
1/6/2023 2:00:00 AM,1/5/2023 9:00:00 PM,RFC,WEST,CE,CE,11540.149,True
1/6/2023 3:00:00 AM,1/5/2023 10:00:00 PM,RFC,WEST,CE,CE,11110.662,True
1/6/2023 4:00:00 AM,1/5/2023 11:00:00 PM,RFC,WEST,CE,CE,10620.143,True
1/6/2023 5:00:00 AM,1/6/2023 12:00:00 AM,RFC,WEST,CE,CE,10123.984,True
1/6/2023 6:00:00 AM,1/6/2023 1:00:00 AM,RFC,WEST,CE,CE,9793.578,True
1/6/2023 7:00:00 AM,1/6/2023 2:00:00 AM,RFC,WEST,CE,CE,9551.464,True
1/6/2023 8:00:00 AM,1/6/2023 3:00:00 AM,RFC,WEST,CE,CE,9370.025,True
1/6/2023 9:00:00 AM,1/6/2023 4:00:00 AM,RFC,WEST,CE,CE,9344.057,True
1/6/2023 10:00:00 AM,1/6/2023 5:00:00 AM,RFC,WEST,CE,CE,9570.036,True
1/6/2023 11:00:00 AM,1/6/2023 6:00:00 AM,RFC,WEST,CE,CE,10104.567,True
1/6/2023 12:00:00 PM,1/6/2023 7:00:00 AM,RFC,WEST,CE,CE,10873.004,True
1/6/2023 1:00:00 PM,1/6/2023 8:00:00 AM,RFC,WEST,CE,CE,11343.617,True
1/6/2023 2:00:00 PM,1/6/2023 9:00:00 AM,RFC,WEST,CE,CE,11603.170,True
1/6/2023 3:00:00 PM,1/6/2023 10:00:00 AM,RFC,WEST,CE,CE,11798.031,True
1/6/2023 4:00:00 PM,1/6/2023 11:00:00 AM,RFC,WEST,CE,CE,11933.353,True
1/6/2023 5:00:00 PM,1/6/2023 12:00:00 PM,RFC,WEST,CE,CE,12020.861,True
1/6/2023 6:00:00 PM,1/6/2023 1:00:00 PM,RFC,WEST,CE,CE,11994.820,True
1/6/2023 7:00:00 PM,1/6/2023 2:00:00 PM,RFC,WEST,CE,CE,11993.548,True
1/6/2023 8:00:00 PM,1/6/2023 3:00:00 PM,RFC,WEST,CE,CE,11909.186,True
1/6/2023 9:00:00 PM,1/6/2023 4:00:00 PM,RFC,WEST,CE,CE,11900.403,True
1/6/2023 10:00:00 PM,1/6/2023 5:00:00 PM,RFC,WEST,CE,CE,12171.333,True
1/6/2023 11:00:00 PM,1/6/2023 6:00:00 PM,RFC,WEST,CE,CE,12336.130,True
1/7/2023 12:00:00 AM,1/6/2023 7:00:00 PM,RFC,WEST,CE,CE,12111.796,True
1/7/2023 1:00:00 AM,1/6/2023 8:00:00 PM,RFC,WEST,CE,CE,11838.476,True
1/7/2023 2:00:00 AM,1/6/2023 9:00:00 PM,RFC,WEST,CE,CE,11578.534,True
1/7/2023 3:00:00 AM,1/6/2023 10:00:00 PM,RFC,WEST,CE,CE,11262.797,True
1/7/2023 4:00:00 AM,1/6/2023 11:00:00 PM,RFC,WEST,CE,CE,10753.280,True
1/7/2023 5:00:00 AM,1/7/2023 12:00:00 AM,RFC,WEST,CE,CE,10295.561,True
1/7/2023 6:00:00 AM,1/7/2023 1:00:00 AM,RFC,WEST,CE,CE,9981.885,True
1/7/2023 7:00:00 AM,1/7/2023 2:00:00 AM,RFC,WEST,CE,CE,9757.356,True
1/7/2023 8:00:00 AM,1/7/2023 3:00:00 AM,RFC,WEST,CE,CE,9603.569,True
1/7/2023 9:00:00 AM,1/7/2023 4:00:00 AM,RFC,WEST,CE,CE,9454.953,True
1/7/2023 10:00:00 AM,1/7/2023 5:00:00 AM,RFC,WEST,CE,CE,9507.569,True
1/7/2023 11:00:00 AM,1/7/2023 6:00:00 AM,RFC,WEST,CE,CE,9754.397,True
1/7/2023 12:00:00 PM,1/7/2023 7:00:00 AM,RFC,WEST,CE,CE,10077.093,True
1/7/2023 1:00:00 PM,1/7/2023 8:00:00 AM,RFC,WEST,CE,CE,10314.083,True
1/7/2023 2:00:00 PM,1/7/2023 9:00:00 AM,RFC,WEST,CE,CE,10521.804,True
1/7/2023 3:00:00 PM,1/7/2023 10:00:00 AM,RFC,WEST,CE,CE,10735.278,True
1/7/2023 4:00:00 PM,1/7/2023 11:00:00 AM,RFC,WEST,CE,CE,10816.692,True
1/7/2023 5:00:00 PM,1/7/2023 12:00:00 PM,RFC,WEST,CE,CE,10872.695,True
1/7/2023 6:00:00 PM,1/7/2023 1:00:00 PM,RFC,WEST,CE,CE,10793.574,True
1/7/2023 7:00:00 PM,1/7/2023 2:00:00 PM,RFC,WEST,CE,CE,10678.223,True
1/7/2023 8:00:00 PM,1/7/2023 3:00:00 PM,RFC,WEST,CE,CE,10571.113,True
